PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Pennsylvania,2019,40,X,0.922017,X,X,X,X,X,X,487,125,52819
States,Pennsylvania,2019,41,X,1.01494,X,X,X,X,X,X,521,124,51333
States,Pennsylvania,2019,42,X,1.20891,X,X,X,X,X,X,594,123,49135
States,Pennsylvania,2019,43,X,1.37937,X,X,X,X,X,X,747,130,54155
States,Pennsylvania,2019,44,X,1.2018,X,X,X,X,X,X,638,126,53087
States,Pennsylvania,2019,45,X,1.42162,X,X,X,X,X,X,736,130,51772
States,Pennsylvania,2019,46,X,1.47832,X,X,X,X,X,X,734,125,49651
States,Pennsylvania,2019,47,X,1.6982,X,X,X,X,X,X,903,130,53174
States,Pennsylvania,2019,48,X,1.7945,X,X,X,X,X,X,795,126,44302
States,Pennsylvania,2019,49,X,1.89246,X,X,X,X,X,X,913,117,48244
States,Pennsylvania,2019,50,X,2.12233,X,X,X,X,X,X,1067,125,50275
States,Pennsylvania,2019,51,X,2.71242,X,X,X,X,X,X,1282,124,47264
States,Pennsylvania,2019,52,X,3.80539,X,X,X,X,X,X,1763,125,46329
States,Pennsylvania,2020,1,X,4.39236,X,X,X,X,X,X,2144,124,48812
States,Pennsylvania,2020,2,X,3.36696,X,X,X,X,X,X,1702,124,50550
States,Pennsylvania,2020,3,X,3.64624,X,X,X,X,X,X,1852,124,50792
States,Pennsylvania,2020,4,X,4.09744,X,X,X,X,X,X,2084,122,50861
States,Pennsylvania,2020,5,X,4.91394,X,X,X,X,X,X,2615,123,53216
States,Pennsylvania,2020,6,X,5.07815,X,X,X,X,X,X,2700,127,53169
States,Pennsylvania,2020,7,X,4.33477,X,X,X,X,X,X,3176,127,73268
States,Pennsylvania,2020,8,X,4.00685,X,X,X,X,X,X,2107,126,52585
States,Pennsylvania,2020,9,X,4.01434,X,X,X,X,X,X,2139,126,53284
States,Pennsylvania,2020,10,X,3.9543,X,X,X,X,X,X,2658,123,67218
States,Pennsylvania,2020,11,X,5.06618,X,X,X,X,X,X,3280,123,64743
States,Pennsylvania,2020,12,X,6.57262,X,X,X,X,X,X,3401,128,51745
States,Pennsylvania,2020,13,X,4.90123,X,X,X,X,X,X,1960,127,39990
States,Pennsylvania,2020,14,X,3.66743,X,X,X,X,X,X,1307,123,35638
States,Pennsylvania,2020,15,X,2.73024,X,X,X,X,X,X,946,124,34649
States,Pennsylvania,2020,16,X,2.03685,X,X,X,X,X,X,712,124,34956
States,Pennsylvania,2020,17,X,1.52523,X,X,X,X,X,X,555,124,36388
States,Pennsylvania,2020,18,X,1.21806,X,X,X,X,X,X,471,123,38668
States,Pennsylvania,2020,19,X,0.94123,X,X,X,X,X,X,369,122,39204
States,Pennsylvania,2020,20,X,0.986198,X,X,X,X,X,X,403,121,40864
States,Pennsylvania,2020,21,X,0.804483,X,X,X,X,X,X,356,120,44252
States,Pennsylvania,2020,22,X,0.604236,X,X,X,X,X,X,281,120,46505
States,Pennsylvania,2020,23,X,0.55852,X,X,X,X,X,X,269,119,48163
States,Pennsylvania,2020,24,X,0.538524,X,X,X,X,X,X,270,114,50137
States,Pennsylvania,2020,25,X,0.525897,X,X,X,X,X,X,271,117,51531
States,Pennsylvania,2020,26,X,0.656522,X,X,X,X,X,X,346,117,52702
States,Pennsylvania,2020,27,X,0.624527,X,X,X,X,X,X,330,117,52840
States,Pennsylvania,2020,28,X,0.65622,X,X,X,X,X,X,361,116,55012
States,Pennsylvania,2020,29,X,0.759942,X,X,X,X,X,X,416,114,54741
States,Pennsylvania,2020,30,X,0.64928,X,X,X,X,X,X,360,114,55446
States,Pennsylvania,2020,31,X,0.814285,X,X,X,X,X,X,446,115,54772
States,Pennsylvania,2020,32,X,0.679713,X,X,X,X,X,X,372,114,54729
States,Pennsylvania,2020,33,X,0.739887,X,X,X,X,X,X,411,113,55549
States,Pennsylvania,2020,34,X,0.683409,X,X,X,X,X,X,372,113,54433
States,Pennsylvania,2020,35,X,0.723503,X,X,X,X,X,X,402,114,55563
States,Pennsylvania,2020,36,X,0.644254,X,X,X,X,X,X,362,115,56189
States,Pennsylvania,2020,37,X,0.802106,X,X,X,X,X,X,457,92,56975
States,Pennsylvania,2020,38,X,0.650767,X,X,X,X,X,X,364,115,55934
