PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Pennsylvania,2018,40,X,0.901871,X,X,X,X,X,X,536,142,59432
States,Pennsylvania,2018,41,X,1.04907,X,X,X,X,X,X,639,141,60911
States,Pennsylvania,2018,42,X,1.07662,X,X,X,X,X,X,610,140,56659
States,Pennsylvania,2018,43,X,1.14248,X,X,X,X,X,X,652,140,57069
States,Pennsylvania,2018,44,X,1.20261,X,X,X,X,X,X,676,139,56211
States,Pennsylvania,2018,45,X,1.32262,X,X,X,X,X,X,731,140,55269
States,Pennsylvania,2018,46,X,1.38527,X,X,X,X,X,X,675,131,48727
States,Pennsylvania,2018,47,X,1.60346,X,X,X,X,X,X,663,139,41348
States,Pennsylvania,2018,48,X,1.42853,X,X,X,X,X,X,1074,140,75182
States,Pennsylvania,2018,49,X,1.52263,X,X,X,X,X,X,811,138,53263
States,Pennsylvania,2018,50,X,1.89283,X,X,X,X,X,X,958,135,50612
States,Pennsylvania,2018,51,X,2.14732,X,X,X,X,X,X,1092,132,50854
States,Pennsylvania,2018,52,X,3.0173,X,X,X,X,X,X,1442,134,47791
States,Pennsylvania,2019,1,X,2.85305,X,X,X,X,X,X,1474,134,51664
States,Pennsylvania,2019,2,X,2.40853,X,X,X,X,X,X,1262,135,52397
States,Pennsylvania,2019,3,X,2.41556,X,X,X,X,X,X,1318,139,54563
States,Pennsylvania,2019,4,X,2.88148,X,X,X,X,X,X,1546,140,53653
States,Pennsylvania,2019,5,X,2.89507,X,X,X,X,X,X,1313,141,45353
States,Pennsylvania,2019,6,X,2.96059,X,X,X,X,X,X,1763,141,59549
States,Pennsylvania,2019,7,X,3.35409,X,X,X,X,X,X,1842,142,54918
States,Pennsylvania,2019,8,X,3.2371,X,X,X,X,X,X,1701,135,52547
States,Pennsylvania,2019,9,X,3.12216,X,X,X,X,X,X,1755,140,56211
States,Pennsylvania,2019,10,X,3.23066,X,X,X,X,X,X,1696,137,52497
States,Pennsylvania,2019,11,X,3.22501,X,X,X,X,X,X,1831,137,56775
States,Pennsylvania,2019,12,X,2.75972,X,X,X,X,X,X,2101,139,76131
States,Pennsylvania,2019,13,X,2.7371,X,X,X,X,X,X,1572,136,57433
States,Pennsylvania,2019,14,X,2.26521,X,X,X,X,X,X,1260,139,55624
States,Pennsylvania,2019,15,X,1.84945,X,X,X,X,X,X,1057,138,57152
States,Pennsylvania,2019,16,X,1.43752,X,X,X,X,X,X,748,137,52034
States,Pennsylvania,2019,17,X,1.144,X,X,X,X,X,X,611,137,53409
States,Pennsylvania,2019,18,X,1.06413,X,X,X,X,X,X,566,134,53189
States,Pennsylvania,2019,19,X,0.946908,X,X,X,X,X,X,463,128,48896
States,Pennsylvania,2019,20,X,0.699043,X,X,X,X,X,X,38,47,5436
States,Pennsylvania,2019,21,X,0.898087,X,X,X,X,X,X,437,106,48659
States,Pennsylvania,2019,22,X,0.952553,X,X,X,X,X,X,474,109,49761
States,Pennsylvania,2019,23,X,0.79739,X,X,X,X,X,X,391,126,49035
States,Pennsylvania,2019,24,X,0.684961,X,X,X,X,X,X,321,127,46864
States,Pennsylvania,2019,25,X,0.690427,X,X,X,X,X,X,327,124,47362
States,Pennsylvania,2019,26,X,0.580165,X,X,X,X,X,X,266,101,45849
States,Pennsylvania,2019,27,X,0.487336,X,X,X,X,X,X,223,125,45759
States,Pennsylvania,2019,28,X,0.482721,X,X,X,X,X,X,233,124,48268
States,Pennsylvania,2019,29,X,0.441361,X,X,X,X,X,X,215,125,48713
States,Pennsylvania,2019,30,X,0.498987,X,X,X,X,X,X,239,124,47897
States,Pennsylvania,2019,31,X,0.475029,X,X,X,X,X,X,220,124,46313
States,Pennsylvania,2019,32,X,0.436154,X,X,X,X,X,X,206,123,47231
States,Pennsylvania,2019,33,X,0.471864,X,X,X,X,X,X,215,122,45564
States,Pennsylvania,2019,34,X,0.49075,X,X,X,X,X,X,230,122,46867
States,Pennsylvania,2019,35,X,0.488977,X,X,X,X,X,X,238,124,48673
States,Pennsylvania,2019,36,X,0.687118,X,X,X,X,X,X,437,122,63599
States,Pennsylvania,2019,37,X,0.771841,X,X,X,X,X,X,414,122,53638
States,Pennsylvania,2019,38,X,0.820868,X,X,X,X,X,X,422,119,51409
States,Pennsylvania,2019,39,X,0.958082,X,X,X,X,X,X,493,119,51457
