"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
States,Pennsylvania,2018,40,216,2,0,0.93,0.93,0
States,Pennsylvania,2018,41,230,2,1,1.3,0.87,0.43
States,Pennsylvania,2018,42,268,1,0,0.37,0.37,0
States,Pennsylvania,2018,43,334,0,0,0,0,0
States,Pennsylvania,2018,44,362,0,0,0,0,0
States,Pennsylvania,2018,45,372,2,0,0.54,0.54,0
States,Pennsylvania,2018,46,359,0,0,0,0,0
States,Pennsylvania,2018,47,377,3,0,0.8,0.8,0
States,Pennsylvania,2018,48,463,10,1,2.38,2.16,0.22
States,Pennsylvania,2018,49,427,5,0,1.17,1.17,0
States,Pennsylvania,2018,50,417,22,0,5.28,5.28,0
States,Pennsylvania,2018,51,570,47,0,8.25,8.25,0
States,Pennsylvania,2018,52,725,105,5,15.17,14.48,0.69
States,Pennsylvania,2019,1,807,82,1,10.29,10.16,0.12
States,Pennsylvania,2019,2,688,86,3,12.94,12.5,0.44
States,Pennsylvania,2019,3,799,185,2,23.4,23.15,0.25
States,Pennsylvania,2019,4,811,185,1,22.93,22.81,0.12
States,Pennsylvania,2019,5,810,203,0,25.06,25.06,0
States,Pennsylvania,2019,6,913,251,2,27.71,27.49,0.22
States,Pennsylvania,2019,7,857,239,0,27.89,27.89,0
States,Pennsylvania,2019,8,794,213,2,27.08,26.83,0.25
States,Pennsylvania,2019,9,772,231,1,30.05,29.92,0.13
States,Pennsylvania,2019,10,714,222,6,31.93,31.09,0.84
States,Pennsylvania,2019,11,768,202,2,26.56,26.3,0.26
States,Pennsylvania,2019,12,699,133,6,19.89,19.03,0.86
States,Pennsylvania,2019,13,674,146,3,22.11,21.66,0.45
States,Pennsylvania,2019,14,613,107,3,17.94,17.46,0.49
States,Pennsylvania,2019,15,599,60,4,10.68,10.02,0.67
States,Pennsylvania,2019,16,441,23,2,5.67,5.22,0.45
States,Pennsylvania,2019,17,351,6,2,2.28,1.71,0.57
States,Pennsylvania,2019,18,266,2,0,0.75,0.75,0
States,Pennsylvania,2019,19,210,0,0,0,0,0
States,Pennsylvania,2019,20,188,0,1,0.53,0,0.53
States,Pennsylvania,2019,21,181,0,1,0.55,0,0.55
States,Pennsylvania,2019,22,169,2,0,1.18,1.18,0
States,Pennsylvania,2019,23,159,1,0,0.63,0.63,0
States,Pennsylvania,2019,24,122,0,0,0,0,0
States,Pennsylvania,2019,25,120,1,0,0.83,0.83,0
States,Pennsylvania,2019,26,126,0,0,0,0,0
States,Pennsylvania,2019,27,173,1,0,0.58,0.58,0
States,Pennsylvania,2019,28,171,0,0,0,0,0
States,Pennsylvania,2019,29,148,1,0,0.68,0.68,0
States,Pennsylvania,2019,30,165,0,0,0,0,0
States,Pennsylvania,2019,31,163,0,0,0,0,0
States,Pennsylvania,2019,32,165,0,0,0,0,0
States,Pennsylvania,2019,33,167,1,0,0.6,0.6,0
States,Pennsylvania,2019,34,157,0,0,0,0,0
States,Pennsylvania,2019,35,165,0,0,0,0,0
States,Pennsylvania,2019,36,196,0,0,0,0,0
States,Pennsylvania,2019,37,254,1,0,0.39,0.39,0
States,Pennsylvania,2019,38,290,1,0,0.34,0.34,0
States,Pennsylvania,2019,39,278,0,0,0,0,0
