Date,Cases
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,0
2/14/20,0
2/15/20,0
2/16/20,0
2/17/20,0
2/18/20,0
2/19/20,0
2/20/20,0
2/21/20,0
2/22/20,0
2/23/20,0
2/24/20,0
2/25/20,0
2/26/20,0
2/27/20,0
2/28/20,0
2/29/20,0
3/1/20,0
3/2/20,0
3/3/20,0
3/4/20,0
3/5/20,0
3/6/20,0
3/7/20,0
3/8/20,0
3/9/20,0
3/10/20,1
3/11/20,1
3/12/20,1
3/13/20,3
3/14/20,4
3/15/20,4
3/16/20,10
3/17/20,19
3/18/20,34
3/19/20,44
3/20/20,67
3/21/20,85
3/22/20,96
3/23/20,175
3/24/20,252
3/25/20,342
3/26/20,475
3/27/20,637
3/28/20,803
3/29/20,890
3/30/20,1072
3/31/20,1315
4/1/20,1675
4/2/20,2100
4/3/20,2430
4/4/20,3008
4/5/20,3189
4/6/20,3728
4/7/20,4272
4/8/20,4777
4/9/20,5029
4/10/20,5521
4/11/20,6022
4/12/20,6386
4/13/20,6813
4/14/20,7130
4/15/20,7441
4/16/20,8045
4/17/20,8563
4/18/20,9014
4/19/20,9214
4/20/20,9553
4/21/20,10028
4/22/20,10028
4/23/20,11226
4/24/20,11877
4/25/20,11877
4/26/20,12566
4/27/20,12868
4/28/20,13445
4/29/20,13803
4/30/20,14468
5/1/20,15137
5/2/20,15137
5/3/20,15137
5/4/20,16040
5/5/20,16410
5/6/20,16697
5/7/20,17047
5/8/20,17517
5/9/20,17881
5/10/20,18211
5/11/20,18313
5/12/20,18537
5/13/20,18779
5/14/20,19093
5/15/20,19349
5/16/20,19606
5/17/20,19606
5/18/20,19953
5/19/20,20132
5/20/20,20359
5/21/20,20700
5/22/20,21009
5/23/20,21234
5/24/20,21234
5/25/20,21234
5/26/20,21738
5/27/20,21975
5/28/20,22150
5/29/20,22405
5/30/20,22629
5/31/20,22629
6/1/20,22881
6/2/20,23034
6/3/20,23160
6/4/20,23281
6/5/20,23407
6/6/20,23529
6/7/20,23529
6/8/20,23691
6/9/20,23822
6/10/20,23951
6/11/20,24107
6/12/20,24228
6/13/20,24338
6/14/20,24338
6/15/20,24475
6/16/20,24591
6/17/20,24655
6/18/20,24723
6/19/20,24841
6/20/20,24841
6/21/20,24841
6/22/20,25116
6/23/20,25335
6/24/20,25443
6/25/20,25443
6/26/20,25693
6/27/20,25782
6/28/20,25782
6/29/20,25991
6/30/20,26133
7/1/20,26257
7/2/20,26400
7/3/20,26536
7/4/20,26565
7/5/20,26565
7/6/20,26810
7/7/20,26901
7/8/20,26969
7/9/20,27228
7/10/20,27341
7/11/20,27367
7/12/20,27367
7/13/20,27575
7/14/20,27723
7/15/20,27867
7/16/20,28024
7/17/20,28159
7/18/20,28196
7/19/20,28196
7/20/20,28592
7/21/20,28742
7/22/20,28874
7/23/20,29102
7/24/20,29303
7/25/20,29303
7/26/20,29303
7/27/20,29803
7/28/20,29945
7/29/20,30077
7/30/20,30213
7/31/20,30354
8/1/20,30354
8/2/20,30354
8/3/20,30665
8/4/20,30771
8/5/20,30877
8/6/20,30986
8/7/20,31120
8/8/20,31120
8/9/20,31120
8/10/20,31448
8/11/20,31584
8/12/20,31725
8/13/20,31910
8/14/20,32057
8/15/20,32186
8/16/20,32186
8/17/20,32348
8/18/20,32432
8/19/20,32569
8/20/20,32674
8/21/20,32791
8/22/20,32936
8/23/20,32936
8/24/20,33054
8/25/20,33139
8/26/20,33255
8/27/20,33343
8/28/20,33495
8/29/20,33607
8/30/20,33607
8/31/20,33778
9/1/20,33909
9/2/20,34144
9/3/20,34311
9/4/20,34445
9/5/20,34445
9/6/20,34445
9/7/20,34699
9/8/20,34742
9/9/20,34742
9/10/20,34887
9/11/20,34986
9/12/20,35094
9/13/20,35094
9/14/20,35257
9/15/20,35344
9/16/20,35441
9/17/20,35529
9/18/20,35583
9/19/20,35583
9/20/20,35583
9/21/20,35825
9/22/20,35901
9/23/20,36004
9/24/20,36112
9/25/20,36187
9/26/20,36187
